"title","creator","type","description","release_date","language"
"The Raid","Gareth Evans","Movie","The Raid (2011) is an Indonesian film directed by Gareth Evans, balancing character drama with memorable set pieces and tone.","2011-03-23","Indonesian"
"The Raid 2","Gareth Evans","Movie","The Raid 2 (2014) is an Indonesian film directed by Gareth Evans, balancing character drama with memorable set pieces and tone.","2014-03-28","Indonesian"
"The Railway Men","Shiv Rawail","TV Show","The Railway Men (2023 debut) is an Indian series by Shiv Rawail, built for long-form storytelling, recurring characters, and serialized stakes.","2023-11-18","Hindi"
"The Reluctant Fundamentalist","Mira Nair","Movie","The Reluctant Fundamentalist (2012) is an American film directed by Mira Nair, balancing character drama with memorable set pieces and tone.","2012-08-29","English / Urdu"
"The Romantics","Smriti Mundhra","Documentary","Shot through an Indian lens, The Romantics (2023) comes from filmmaker Smriti Mundhra and asks viewers to sit with facts, context, and human detail.","2023-02-14","Hindi / English"
"The Royal Tailor","Lee Won-suk","Movie","The Royal Tailor (2014) is a South Korean film by Lee Won-suk, following characters through conflict and consequence with a distinctive visual and narrative voice.","2014-12-24","Korean"
"The Satanic Verses","Salman Rushdie","Book","In The Satanic Verses, Salman Rushdie traces characters through memory, migration, and choice; the 1988 publication remains a readable entry point into British letters and ideas.","1988-09-26","English"
"The Scent of Green Papaya","Tran Anh Hung","Movie","Released in 1993, The Scent of Green Papaya is a Vietnamese feature shaped by Tran Anh Hung, pairing strong performances with a clear sense of place and pacing.","1993-06-30","Vietnamese"
"The Shadow Hero","Gene Luen Yang","Graphic novel","The Shadow Hero (2014) is a graphic novel by Gene Luen Yang, pairing panel rhythm and dialogue with a strong visual identity rooted in American comics culture.","2014-07-15","English"
"The Story of Us","JJ Lin","Music","The Story of Us (2020), from JJ Lin, collects tracks that highlight tone, arrangement, and era-defining studio choices in Singaporean pop and soundtrack culture.","2020-10-20","Mandarin"
"The Summer I Turned Pretty","Jenny Han","TV Show","The Summer I Turned Pretty (2022 debut) is an American series by Jenny Han, built for long-form storytelling, recurring characters, and serialized stakes.","2022-06-17","English"
"The Sympathizer","Viet Thanh Nguyen","Book","A Pulitzer-winning novel about a double agent after the Vietnam War dissecting revolution exile and the performance of loyalty.","2015-04-12","English"
"The Sympathizer","Park Chan-wook","TV Show","An American show led by Park Chan-wook, The Sympathizer premiered around 2024 and blends episodic hooks with season-long arcs and production polish.","2024-04-14","English / Vietnamese"
"The Tale of Genji","Murasaki Shikibu","Book","In The Tale of Genji, Murasaki Shikibu traces characters through memory, migration, and choice; the 1008 publication remains a readable entry point into Japanese letters and ideas.","1008-01-01","Japanese"
"The Tale of the Princess Kaguya","Isao Takahata","Movie","The Tale of the Princess Kaguya (2013) is a Japanese film by Isao Takahata, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-11-23","Japanese"
"The Terrorizers","Edward Yang","Movie","Released in 1986, The Terrorizers is a Taiwanese feature shaped by Edward Yang, pairing strong performances with a clear sense of place and pacing.","1986-12-19","Mandarin"
"The Three-Body Problem","Liu Cixin","Book","The Three-Body Problem (2008) is a novel by Liu Cixin that weaves personal voice with history, family, and place across its chapters.","2008-01-01","Mandarin"
"The Throne","Lee Joon-ik","Movie","This 2015 South Korean release, The Throne, is helmed by Lee Joon-ik and sits among standout work from its era for mood, story, and craft.","2015-09-16","Korean"
"The Untamed","Zheng Weiwei","TV Show","The Untamed follows an ensemble through shifting relationships and plot turns; by Zheng Weiwei, it represents a notable Chinese entry in contemporary TV.","2019-06-27","Mandarin"
"The Vegetarian","Han Kang","Book","Han Kang's The Vegetarian (2007) mixes intimate scenes with wider social backdrop, anchored in South Korean and diaspora storytelling traditions.","2007-10-13","Korean"
"The Villainess","Jung Byung-gil","Movie","The Villainess (2017) is a South Korean film by Jung Byung-gil, following characters through conflict and consequence with a distinctive visual and narrative voice.","2017-06-08","Korean"
"The Wailing","Na Hong-jin","Movie","The Wailing (2016) is a South Korean film by Na Hong-jin, following characters through conflict and consequence with a distinctive visual and narrative voice.","2016-05-12","Korean"
"The Wandering Earth","Frant Gwo","Movie","This 2019 Chinese release, The Wandering Earth, is helmed by Frant Gwo and sits among standout work from its era for mood, story, and craft.","2019-02-05","Mandarin"
"The Warrior","Asif Kapadia","Movie","The Warrior (2001) is a British film directed by Asif Kapadia, balancing character drama with memorable set pieces and tone.","2001-09-01","English / Hindi"
"The Waste Tide","Chen Qiufan","Book","In The Waste Tide, Chen Qiufan traces characters through memory, migration, and choice; the 2013 publication remains a readable entry point into Chinese letters and ideas.","2013-01-01","Mandarin"
"The Way We Are","Ann Hui","Movie","The Way We Are (2008) is a Hong Kong film directed by Ann Hui, balancing character drama with memorable set pieces and tone.","2008-03-27","Cantonese"
"The Wedding Banquet","Ang Lee","Movie","The Wedding Banquet (1993) is a Taiwanese film directed by Ang Lee, balancing character drama with memorable set pieces and tone.","1993-02-04","Mandarin"
"The White Book","Han Kang","Book","In The White Book, Han Kang traces characters through memory, migration, and choice; the 2016 publication remains a readable entry point into South Korean letters and ideas.","2016-11-01","Korean"
"The White Tiger","Aravind Adiga","Book","In The White Tiger, Aravind Adiga traces characters through memory, migration, and choice; the 2008 publication remains a readable entry point into Indian letters and ideas.","2008-04-22","English"
"The Wind Rises","Hayao Miyazaki","Movie","This 2013 Japanese release, The Wind Rises, is helmed by Hayao Miyazaki and sits among standout work from its era for mood, story, and craft.","2013-07-20","Japanese"
"The Wind-Up Bird Chronicle","Haruki Murakami","Book","The Wind-Up Bird Chronicle (1994) is a novel by Haruki Murakami that weaves personal voice with history, family, and place across its chapters.","1994-06-01","Japanese"
"The Woman Who Left","Lav Diaz","Movie","The Woman Who Left (2016) is a Filipino film by Lav Diaz, following characters through conflict and consequence with a distinctive visual and narrative voice.","2016-09-09","Filipino"
"The Yellow Sea","Na Hong-jin","Movie","The Yellow Sea (2010) is a South Korean film directed by Na Hong-jin, balancing character drama with memorable set pieces and tone.","2010-12-22","Korean"
"Theeb","Naji Abu Nowar","Movie","Theeb (2014) is a Jordanian film by Naji Abu Nowar, following characters through conflict and consequence with a distinctive visual and narrative voice.","2014-08-28","Arabic"
"They Call Us Bruce","Phil Yu and Jeff Yang","Podcast","They Call Us Bruce is a show from Phil Yu and Jeff Yang, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2017-01-01","English"
"They Called Us Enemy","George Takei","Graphic novel","They Called Us Enemy (2019) is a graphic novel by George Takei, pairing panel rhythm and dialogue with a strong visual identity rooted in American comics culture.","2019-07-16","English"
"Three-Body","Yang Lei","TV Show","Three-Body follows an ensemble through shifting relationships and plot turns; by Yang Lei, it represents a notable Chinese entry in contemporary TV.","2023-01-15","Mandarin"
"Tides of History","Patrick Wyman","Podcast","Tides of History is a show by Patrick Wyman, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2018-01-01","English"
"Tiger Stripes","Amanda Nell Eu","Movie","This 2023 Malaysian release, Tiger Stripes, is helmed by Amanda Nell Eu and sits among standout work from its era for mood, story, and craft.","2023-05-17","Malay"
"Tigertail","Alan Yang","Movie","A quiet drama about a Taiwanese immigrant reflecting on the sacrifices that built his American life and the intimacy he could not express.","2020-04-10","English / Mandarin"
"Time Is a Mother","Ocean Vuong","Book","In Time Is a Mother, Ocean Vuong traces characters through memory, migration, and choice; the 2022 publication remains a readable entry point into American letters and ideas.","2022-04-05","English"
"To All the Boys Ive Loved Before","Susan Johnson","Movie","Released in 2018, To All the Boys Ive Loved Before is an American feature shaped by Susan Johnson, pairing strong performances with a clear sense of place and pacing.","2018-08-17","English"
"To Live","Zhang Yimou","Movie","Released in 1994, To Live is a Chinese feature shaped by Zhang Yimou, pairing strong performances with a clear sense of place and pacing.","1994-05-18","Mandarin"
"To Your Eternity","Yoshitoki Oima","Manga","To Your Eternity (2016) is serialized manga by Yoshitoki Oima, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2016-11-09","Japanese"
"Tokyo Godfathers","Satoshi Kon","Movie","This 2003 Japanese release, Tokyo Godfathers, is helmed by Satoshi Kon and sits among standout work from its era for mood, story, and craft.","2003-11-08","Japanese"
"Tokyo Story","Yasujiro Ozu","Movie","Tokyo Story (1953) is a Japanese film directed by Yasujiro Ozu, balancing character drama with memorable set pieces and tone.","1953-11-03","Japanese"
"Train to Busan","Yeon Sang-ho","Movie","Released in 2016, Train to Busan is a South Korean feature shaped by Yeon Sang-ho, pairing strong performances with a clear sense of place and pacing.","2016-07-20","Korean"
"Tropical Malady","Apichatpong Weerasethakul","Movie","Tropical Malady (2004) is a Thai film directed by Apichatpong Weerasethakul, balancing character drama with memorable set pieces and tone.","2004-05-17","Thai"
"Tumbbad","Rahi Anil Barve","Movie","Tumbbad (2018) is an Indian film by Rahi Anil Barve, following characters through conflict and consequence with a distinctive visual and narrative voice.","2018-10-12","Hindi"
"Turning Red","Domee Shi","Movie","A Pixar coming-of-age story set in Toronto that uses magical realism to talk about adolescence family expectations and cultural pride.","2022-03-11","English"
"Twenty Five Twenty One","Jung Ji-hyun","TV Show","A South Korean show led by Jung Ji-hyun, Twenty Five Twenty One premiered around 2022 and blends episodic hooks with season-long arcs and production polish.","2022-02-12","Korean"
"Ugly Beauty","Jolin Tsai","Music","Ugly Beauty (2018), from Jolin Tsai, collects tracks that highlight tone, arrangement, and era-defining studio choices in Taiwanese pop and soundtrack culture.","2018-12-26","Mandarin"
"Ugly Delicious","David Chang","TV Show","An American show led by David Chang, Ugly Delicious premiered around 2018 and blends episodic hooks with season-long arcs and production polish.","2018-02-23","English"
"Ulam: Main Dish","Alexandra Cuerdo","Documentary","Shot through an American lens, Ulam: Main Dish (2018) comes from filmmaker Alexandra Cuerdo and asks viewers to sit with facts, context, and human detail.","2018-05-01","English"
"Unaccustomed Earth","Jhumpa Lahiri","Book","In Unaccustomed Earth, Jhumpa Lahiri traces characters through memory, migration, and choice; the 2008 publication remains a readable entry point into American letters and ideas.","2008-04-01","English"
"Uncle Boonmee Who Can Recall His Past Lives","Apichatpong Weerasethakul","Movie","Uncle Boonmee Who Can Recall His Past Lives (2010) is a Thai film directed by Apichatpong Weerasethakul, balancing character drama with memorable set pieces and tone.","2010-05-21","Thai"
"Universe","NCT","Music","Universe (2021), from NCT, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2021-12-14","Korean"
"Vertical Ray of the Sun","Tran Anh Hung","Movie","Released in 2000, Vertical Ray of the Sun is a Vietnamese feature shaped by Tran Anh Hung, pairing strong performances with a clear sense of place and pacing.","2000-05-27","Vietnamese"
"Veteran","Ryoo Seung-wan","Movie","Veteran (2015) is a South Korean film by Ryoo Seung-wan, following characters through conflict and consequence with a distinctive visual and narrative voice.","2015-08-05","Korean"
"Vincenzo","Kim Hee-won","TV Show","Vincenzo follows an ensemble through shifting relationships and plot turns; by Kim Hee-won, it represents a notable South Korean entry in contemporary TV.","2021-02-20","Korean"
"Vinland Saga","Shuhei Yabuta","Anime","Vinland Saga (2019) is a Japanese animated series by Shuhei Yabuta, known for pacing, design, and serialized storytelling that built a wide fan base.","2019-07-08","Japanese"
"Violet Evergarden","Taichi Ishidate","Anime","This Japanese anime from 2018, Violet Evergarden, is associated with Taichi Ishidate and mixes action, emotion, and distinctive art direction.","2018-01-11","Japanese"
"Warrior","Jonathan Tropper","TV Show","Warrior follows an ensemble through shifting relationships and plot turns; by Jonathan Tropper, it represents a notable American entry in contemporary TV.","2019-04-05","English / Cantonese"
"Weathering With You","Makoto Shinkai","Movie","Weathering With You (2019) is a Japanese film by Makoto Shinkai, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-07-19","Japanese"
"When Marnie Was There","Hiromasa Yonebayashi","Movie","When Marnie Was There (2014) is a Japanese film by Hiromasa Yonebayashi, following characters through conflict and consequence with a distinctive visual and narrative voice.","2014-07-19","Japanese"
"When We All Fall Asleep Where Do We Go","Billie Eilish","Music","When We All Fall Asleep Where Do We Go (2019) is a recorded project by Billie Eilish, showcasing melody, production, and performance within the American popular-music landscape.","2019-03-29","English"
"Who Killed Vincent Chin?","Christine Choy and Renee Tajima-Peña","Documentary","A landmark film about the murder of Vincent Chin and the Asian American civil rights response that followed.","1987-01-01","English"
"Wild Swans","Jung Chang","Book","Wild Swans (1991) is a novel by Jung Chang that weaves personal voice with history, family, and place across its chapters.","1991-06-24","English"
"Wolf Children","Mamoru Hosoda","Movie","Released in 2012, Wolf Children is a Japanese feature shaped by Mamoru Hosoda, pairing strong performances with a clear sense of place and pacing.","2012-07-21","Japanese"
"Wolf Totem","Jiang Rong","Book","In Wolf Totem, Jiang Rong traces characters through memory, migration, and choice; the 2004 publication remains a readable entry point into Chinese letters and ideas.","2004-04-01","Mandarin"
"Woman in the Dunes","Hiroshi Teshigahara","Movie","This 1964 Japanese release, Woman in the Dunes, is helmed by Hiroshi Teshigahara and sits among standout work from its era for mood, story, and craft.","1964-02-15","Japanese"
"Writing with Fire","Rintu Thomas","Documentary","Shot through an Indian lens, Writing with Fire (2021) comes from filmmaker Rintu Thomas and asks viewers to sit with facts, context, and human detail.","2021-01-30","Hindi / English"
"XO Kitty","Jenny Han","TV Show","XO Kitty follows an ensemble through shifting relationships and plot turns; by Jenny Han, it represents a notable American entry in contemporary TV.","2023-05-18","English"
"XX","LOONA","Music","XX (2019) is a recorded project by LOONA, showcasing melody, production, and performance within the South Korean popular-music landscape.","2019-02-19","Korean"
"Yellowface","R F Kuang","Book","A sharp thriller about authorship social media and exploitation as a white writer steals an Asian colleagues unfinished manuscript.","2023-05-16","English"
"Yi Yi","Edward Yang","Movie","This 2000 Taiwanese release, Yi Yi, is helmed by Edward Yang and sits among standout work from its era for mood, story, and craft.","2000-05-15","Mandarin"
"Your Name","Makoto Shinkai","Movie","Released in 2016, Your Name is a Japanese feature shaped by Makoto Shinkai, pairing strong performances with a clear sense of place and pacing.","2016-08-26","Japanese"
"Zatoichi","Takeshi Kitano","Movie","This 2003 Japanese release, Zatoichi, is helmed by Takeshi Kitano and sits among standout work from its era for mood, story, and craft.","2003-09-06","Japanese"
"ZUTOMAYO","ZUTOMAYO","Music","ZUTOMAYO (2019), from ZUTOMAYO, collects tracks that highlight tone, arrangement, and era-defining studio choices in Japanese pop and soundtrack culture.","2019-11-14","Japanese"
