"title","creator","type","description","release_date","language"
"Vinland Saga","Shuhei Yabuta","Anime","Classrooms and film clubs often return to Vinland Saga when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2019-07-08","Japanese"
"Violet Evergarden","Taichi Ishidate","Anime","Violet Evergarden is a widely taught anime from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2018-01-11","Japanese"
"Warrior","Jonathan Tropper","TV Show","Warrior helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2019-04-05","English / Cantonese"
"Weathering With You","Makoto Shinkai","Movie","Weathering With You remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-07-19","Japanese"
"When Marnie Was There","Hiromasa Yonebayashi","Movie","When Marnie Was There remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2014-07-19","Japanese"
"When We All Fall Asleep Where Do We Go","Billie Eilish","Music","When We All Fall Asleep Where Do We Go helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2019-03-29","English"
"Who Killed Vincent Chin?","Christine Choy and Renee Tajima-Peña","Documentary","A landmark film about the murder of Vincent Chin and the Asian American civil rights response that followed.","1987-01-01","English"
"Wild Swans","Jung Chang","Book","Wild Swans offers a memorable entry point into China media histories inviting discussion of language genre conventions and transnational audiences.","1991-06-24","English"
"Wolf Children","Mamoru Hosoda","Movie","Wolf Children offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2012-07-21","Japanese"
"Wolf Totem","Jiang Rong","Book","This book from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2004-04-01","Mandarin"
"Woman in the Dunes","Hiroshi Teshigahara","Movie","Woman in the Dunes helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","1964-02-15","Japanese"
"Writing with Fire","Rintu Thomas","Documentary","Writing with Fire helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2021-01-30","Hindi / English"
"XO Kitty","Jenny Han","TV Show","XO Kitty helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2023-05-18","English"
"XX","LOONA","Music","XX offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2019-02-19","Korean"
"Yellowface","R F Kuang","Book","A sharp thriller about authorship social media and exploitation as a white writer steals an Asian colleagues unfinished manuscript.","2023-05-16","English"
"Yi Yi","Edward Yang","Movie","Yi Yi is a widely taught movie from Taiwan that helps audiences compare how family migration and power show up on screen and in everyday life.","2000-05-15","Mandarin"
"Your Name","Makoto Shinkai","Movie","Your Name is a widely taught movie from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-08-26","Japanese"
"Zatoichi","Takeshi Kitano","Movie","Zatoichi offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2003-09-06","Japanese"
"ZUTOMAYO","ZUTOMAYO","Music","ZUTOMAYO offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2019-11-14","Japanese"
